# x_m,y_m
1.5929412,-1.0218428
1.5929412,-1.0268426
1.5929412,-1.0318425
1.5929412,-1.0368423
1.5927247,-1.0417524
1.5891879,-1.0452864
1.5882353,-1.0498915
1.5854405,-1.0537330
1.5835294,-1.0579408
1.5816931,-1.0621797
1.5781563,-1.0657137
1.5746195,-1.0692477
1.5741176,-1.0740395
1.5708722,-1.0776943
1.5673354,-1.0812284
1.5637986,-1.0847624
1.5602618,-1.0882964
1.5600000,-1.0931878
1.5565144,-1.0967430
1.5529776,-1.1002771
1.5494408,-1.1038111
1.5459040,-1.1073451
1.5423672,-1.1108792
1.5388304,-1.1144132
1.5352936,-1.1179472
1.5317568,-1.1214813
1.5282200,-1.1250153
1.5237005,-1.1261755
1.5197694,-1.1287571
1.5162326,-1.1322911
1.5126958,-1.1358252
1.5091590,-1.1393592
1.5045412,-1.1402821
1.5007083,-1.1431010
1.4964882,-1.1449843
1.4922577,-1.1468428
1.4884351,-1.1496865
1.4838071,-1.1505846
1.4802703,-1.1541186
1.4767335,-1.1576527
1.4723291,-1.1590909
1.4682829,-1.1613945
1.4642760,-1.1637931
1.4592762,-1.1637931
1.4549184,-1.1653441
1.4512231,-1.1684953
1.4464678,-1.1690859
1.4429310,-1.1726199
1.4381703,-1.1731975
1.4331704,-1.1731975
1.4281706,-1.1731975
1.4231708,-1.1731975
1.4181709,-1.1731975
1.4131711,-1.1731975
1.4081712,-1.1731975
1.4031714,-1.1731975
1.3987066,-1.1744899
1.3951698,-1.1777755
1.3916330,-1.1742414
1.3870653,-1.1731975
1.3820655,-1.1731975
1.3770657,-1.1731975
1.3720658,-1.1731975
1.3670660,-1.1731975
1.3620661,-1.1731975
1.3570663,-1.1731975
1.3520665,-1.1731975
1.3474086,-1.1723715
1.3438718,-1.1688374
1.3390136,-1.1684953
1.3340442,-1.1684219
1.3305074,-1.1648878
1.3259607,-1.1637931
1.3220567,-1.1611460
1.3179077,-1.1590909
1.3136061,-1.1574042
1.3098546,-1.1543887
1.3051555,-1.1536624
1.3016187,-1.1501284
1.2980819,-1.1465944
1.2937486,-1.1449843
1.2896313,-1.1428525
1.2860944,-1.1393185
1.2825576,-1.1357845
1.2776438,-1.1355767
1.2741070,-1.1320427
1.2705702,-1.1285086
1.2670334,-1.1249746
1.2634830,-1.1214734
1.2585828,-1.1212328
1.2550460,-1.1176988
1.2515092,-1.1141647
1.2479724,-1.1106307
1.2444356,-1.1070967
1.2408988,-1.1035626
1.2373620,-1.1000286
1.2338252,-1.0964946
1.2302884,-1.0929605
1.2267516,-1.0894265
1.2232147,-1.0858925
1.2196779,-1.0823584
1.2161411,-1.0788244
1.2126043,-1.0752904
1.2090675,-1.0717564
1.2055307,-1.0682223
1.2019939,-1.0646883
1.1984571,-1.0611543
1.1976471,-1.0564901
1.1947098,-1.0527076
1.1911730,-1.0491736
1.1876362,-1.0456396
1.1840994,-1.0421056
1.1805626,-1.0385715
1.1770258,-1.0350375
1.1741176,-1.0312429
1.1732784,-1.0265909
1.1697416,-1.0230568
1.1662048,-1.0195228
1.1626680,-1.0159888
1.1600000,-1.0120947
1.1589206,-1.0075422
1.1553838,-1.0040081
1.1518470,-1.0004741
1.1483102,-0.9969401
1.1447734,-0.9934060
1.1412366,-0.9898720
1.1410261,-0.9849594
1.1374893,-0.9814254
1.1339525,-0.9778914
1.1304157,-0.9743573
1.1268789,-0.9708233
1.1233421,-0.9672893
1.1198053,-0.9637552
1.1162684,-0.9602212
1.1127316,-0.9566872
1.1091948,-0.9531532
1.1056580,-0.9496191
1.1021212,-0.9460851
1.0985844,-0.9425511
1.0950476,-0.9390170
1.0915108,-0.9354830
1.0879740,-0.9319490
1.0844372,-0.9284149
1.0809004,-0.9248809
1.0773636,-0.9213469
1.0738268,-0.9178128
1.0702900,-0.9142788
1.0667532,-0.9107448
1.0632164,-0.9072107
1.0590604,-0.9051724
1.0547658,-0.9034689
1.0512290,-0.8999349
1.0476922,-0.8964009
1.0441554,-0.8928668
1.0399011,-0.8910658
1.0357047,-0.8891250
1.0321679,-0.8855910
1.0286311,-0.8820570
1.0237950,-0.8816614
1.0201805,-0.8783152
1.0166437,-0.8747811
1.0126888,-0.8722571
1.0081931,-0.8710393
1.0046357,-0.8675549
0.9997424,-0.8672975
0.9962056,-0.8637635
0.9915829,-0.8628527
0.9877550,-0.8600217
0.9835298,-0.8581505
0.9793044,-0.8562799
0.9754768,-0.8534483
0.9708538,-0.8525381
0.9673170,-0.8490040
0.9624239,-0.8487461
0.9574893,-0.8485885
0.9539525,-0.8450544
0.9493710,-0.8440439
0.9455019,-0.8413126
0.9413180,-0.8393417
0.9363182,-0.8393417
0.9321375,-0.8373630
0.9282651,-0.8346395
0.9232653,-0.8346395
0.9187730,-0.8334135
0.9152122,-0.8299373
0.9102124,-0.8299373
0.9052126,-0.8299373
0.9004947,-0.8292561
0.8969579,-0.8257221
0.8921597,-0.8252351
0.8871599,-0.8252351
0.8835935,-0.8217725
0.8791068,-0.8205329
0.8741070,-0.8205329
0.8691071,-0.8205329
0.8641073,-0.8205329
0.8591075,-0.8205329
0.8554876,-0.8171996
0.8510544,-0.8158307
0.8460546,-0.8158307
0.8410548,-0.8158307
0.8360549,-0.8158307
0.8322955,-0.8128345
0.8280019,-0.8111285
0.8230021,-0.8111285
0.8180022,-0.8111285
0.8130024,-0.8111285
0.8080025,-0.8111285
0.8030027,-0.8111285
0.7980029,-0.8111285
0.7930030,-0.8111285
0.7880032,-0.8111285
0.7830034,-0.8111285
0.7780035,-0.8111285
0.7730037,-0.8111285
0.7680039,-0.8111285
0.7630040,-0.8111285
0.7580042,-0.8111285
0.7530043,-0.8111285
0.7480045,-0.8111285
0.7430047,-0.8111285
0.7389329,-0.8133703
0.7349516,-0.8158307
0.7299518,-0.8158307
0.7249520,-0.8158307
0.7199521,-0.8158307
0.7149523,-0.8158307
0.7108270,-0.8179432
0.7068992,-0.8205329
0.7018994,-0.8205329
0.6968996,-0.8205329
0.6918997,-0.8205329
0.6876349,-0.8223084
0.6838467,-0.8252351
0.6788469,-0.8252351
0.6738470,-0.8252351
0.6693566,-0.8264657
0.6657940,-0.8299373
0.6607942,-0.8299373
0.6557943,-0.8299373
0.6510784,-0.8306231
0.6475416,-0.8341571
0.6427414,-0.8346395
0.6377416,-0.8346395
0.6341771,-0.8381067
0.6296886,-0.8393417
0.6246887,-0.8393417
0.6208127,-0.8420563
0.6166357,-0.8440439
0.6123621,-0.8457981
0.6085826,-0.8487461
0.6035828,-0.8487461
0.5989976,-0.8497477
0.5954608,-0.8532817
0.5905470,-0.8534895
0.5870102,-0.8570235
0.5824769,-0.8581505
0.5785596,-0.8607653
0.5744239,-0.8628527
0.5701089,-0.8645071
0.5663708,-0.8675549
0.5616583,-0.8682489
0.5581215,-0.8717830
0.5533179,-0.8722571
0.5496709,-0.8755248
0.5461341,-0.8790588
0.5422117,-0.8816614
0.5376835,-0.8828006
0.5341467,-0.8863346
0.5306099,-0.8898687
0.5261056,-0.8910658
0.5221592,-0.8936105
0.5186224,-0.8971445
0.5150856,-0.9006786
0.5115488,-0.9042126
0.5069463,-0.9051724
0.5030982,-0.9079544
0.4995614,-0.9114884
0.4960246,-0.9150225
0.4924878,-0.9185565
0.4889510,-0.9220905
0.4854142,-0.9256246
0.4818774,-0.9291586
0.4783406,-0.9326926
0.4748038,-0.9362266
0.4712670,-0.9397607
0.4677302,-0.9432947
0.4641934,-0.9468287
0.4606565,-0.9503628
0.4571197,-0.9538968
0.4535829,-0.9574308
0.4500461,-0.9609649
0.4465093,-0.9644989
0.4429725,-0.9680329
0.4394357,-0.9715670
0.4358989,-0.9751010
0.4352941,-0.9798502
0.4321516,-0.9835476
0.4286148,-0.9870816
0.4250780,-0.9906157
0.4215412,-0.9941497
0.4211765,-0.9989984
0.4177938,-1.0025963
0.4142570,-1.0061303
0.4107202,-1.0096644
0.4071834,-1.0131984
0.4069729,-1.0181110
0.4034360,-1.0216450
0.3998992,-1.0251790
0.3963624,-1.0287131
0.3928256,-1.0322471
0.3892888,-1.0357811
0.3882353,-1.0403443
0.3855415,-1.0442278
0.3820047,-1.0477618
0.3784679,-1.0512958
0.3749311,-1.0548298
0.3713943,-1.0583639
0.3678575,-1.0618979
0.3643207,-1.0654319
0.3607839,-1.0689660
0.3572471,-1.0725000
